epoch,train_loss,val_macro_auroc,val_macro_ap,val_macro_f1,lr,seconds,val_mae_available_height_mm,val_mae_ridge_width_mm,val_skill
0,1.68199,0.80355,0.34981,0.44056,9.6e-05,88.2,6.0507,3.1497,0.29739
1,1.37342,0.89543,0.59224,0.62893,0.000192,84.4,4.9761,2.9544,0.42719
2,1.26545,0.85761,0.59723,0.60377,0.000288,83.1,5.2069,2.9492,0.39154
3,1.16266,0.92496,0.66121,0.65507,0.000384,83.4,4.814,3.1538,0.4365
4,1.13892,0.9175,0.65406,0.61905,0.00048,83.5,5.0165,3.3892,0.40062
5,1.16588,0.92916,0.68357,0.67742,0.000479624510725886,83.3,6.9109,3.4254,0.31545
6,1.09907,0.92302,0.69156,0.66019,0.00047847533903587117,84.8,4.7717,3.8598,0.37326
7,1.03187,0.91608,0.6716,0.64984,0.0004765561386587168,83.1,4.6802,2.8324,0.46602
8,0.97998,0.91945,0.70469,0.67119,0.0004738731696271429,82.8,4.7552,2.927,0.45615
9,0.98572,0.93255,0.71463,0.69281,0.0004704351832284693,83.1,4.4416,2.8916,0.48292
10,0.94953,0.94729,0.72678,0.70588,0.0004662533934597353,83.3,4.4059,2.8246,0.50051
11,0.93834,0.92543,0.71319,0.65292,0.0004613414404499719,82.8,4.2701,2.9839,0.47794
12,0.9072,0.93744,0.72317,0.68794,0.0004557153459689363,83.3,4.254,3.0109,0.48426
13,0.88451,0.9323,0.70587,0.67089,0.00044939346116742936,83.1,4.1941,2.8742,0.49605
14,0.85132,0.95155,0.75268,0.71685,0.00044239640671965525,84.5,4.0056,2.8526,0.51977
15,0.8732,0.9451,0.75485,0.71622,0.00043474700556286904,85.1,4.0096,2.8582,0.51476
16,0.84632,0.95354,0.76902,0.72441,0.0004264702084536987,83.4,4.0339,2.7618,0.52797
17,0.81522,0.94529,0.76645,0.71383,0.00041759301258396334,83.4,4.6032,2.8004,0.49204
18,0.7722,0.94351,0.75251,0.68592,0.00040814437352144466,83.9,4.0395,2.802,0.51738
19,0.76062,0.95293,0.7651,0.72964,0.00039815511076284353,82.4,4.2967,2.7662,0.51473
20,0.81099,0.95433,0.74872,0.69128,0.0003876578072069876,83.4,4.0514,2.7512,0.52863
21,0.81315,0.91681,0.71215,0.69118,0.0003766867028761877,83.6,4.0569,2.8103,0.498
22,0.7695,0.94961,0.76524,0.72243,0.0003652775832324017,84.6,4.0048,2.7549,0.52736
23,0.801,0.95195,0.75888,0.70849,0.0003534676624524965,82.9,4.0613,2.9518,0.50841
24,0.74639,0.94615,0.76739,0.7234,0.0003412954620433371,84.0,3.9516,2.76,0.5271
25,0.70881,0.95036,0.78239,0.72662,0.00032880068519263887,84.0,3.9921,2.8016,0.52423
26,0.6984,0.9498,0.77097,0.72917,0.00031602408726542084,83.0,4.1081,2.6745,0.52988
27,0.67164,0.95175,0.79313,0.74118,0.0003030073428684767,83.3,3.8439,2.96,0.51782
28,0.7047,0.95437,0.76694,0.72254,0.00028979290991646957,83.8,4.2022,2.822,0.51511
29,0.69879,0.95465,0.76379,0.72455,0.0002764238911430388,84.0,3.917,2.6731,0.54228
30,0.65775,0.94903,0.76845,0.71746,0.00026294389350864253,84.1,3.9595,2.6965,0.5344
31,0.64325,0.95772,0.79114,0.75,0.0002493968859637161,83.7,4.0174,2.6423,0.54237
32,0.65674,0.95629,0.79894,0.73716,0.00023582705603109456,83.6,3.979,2.7054,0.53751
33,0.69204,0.95592,0.78514,0.73856,0.00022227866567549825,84.5,4.2221,2.6876,0.52737
34,0.61863,0.94487,0.78901,0.75862,0.0002087959069302035,83.9,3.8782,2.614,0.54295
35,0.60781,0.95098,0.78875,0.75159,0.00019542275775181526,83.2,3.8115,2.624,0.54928
36,0.6109,0.94553,0.76719,0.74214,0.0001822028385733141,83.7,3.8748,2.6245,0.5426
37,0.5643,0.94835,0.78635,0.75658,0.00016917927002327014,82.5,3.8204,2.6352,0.54608
38,0.57829,0.95018,0.7767,0.73955,0.00015639453227531518,82.7,3.8414,2.5841,0.55094
39,0.5348,0.94999,0.80272,0.74843,0.00014389032648664635,83.8,3.7843,2.6523,0.54734
40,0.57216,0.94734,0.79063,0.75172,0.00013170743877751866,84.4,3.7591,2.5687,0.55434
41,0.53681,0.95398,0.79877,0.75163,0.00011988560719539849,83.7,3.7344,2.557,0.56099
42,0.49551,0.94207,0.80474,0.75,0.000108463392097712,83.7,3.7406,2.5938,0.54942
43,0.53615,0.95273,0.80307,0.75542,9.74780503759747e-05,83.6,3.7397,2.6125,0.55488
44,0.4942,0.95227,0.80861,0.77483,8.696541393155457e-05,82.1,3.6705,2.6087,0.55819
45,0.4924,0.94491,0.80792,0.77027,7.695977279945794e-05,84.2,3.6651,2.5545,0.55845
46,0.50446,0.94595,0.80134,0.76873,6.749376330136249e-05,82.9,3.6728,2.6063,0.55409
47,0.51402,0.93715,0.79241,0.75373,5.8598261592719387e-05,83.3,3.6868,2.5566,0.55206
48,0.44988,0.9425,0.80254,0.76721,5.0302282951151984e-05,82.9,3.652,2.5828,0.5549
49,0.46989,0.94122,0.80871,0.76,4.26328871346512e-05,82.7,3.6682,2.574,0.55408
50,0.42451,0.94127,0.79906,0.76027,3.561509011826899e-05,82.2,3.6733,2.5628,0.55489
51,0.45966,0.94327,0.80244,0.76226,2.927178249720775e-05,82.4,3.6854,2.5687,0.55511
52,0.42557,0.94521,0.80391,0.75177,2.362365482245659e-05,82.7,3.6348,2.5601,0.55957
53,0.44574,0.93865,0.79755,0.75735,1.8689130112514282e-05,82.9,3.6421,2.5724,0.55375
