method,case,target_label,mass_in_planted_region,chance_level,enrichment
attention_rollout,0,needs_implant,0.008752342626195096,0.007050690706819296,1.2413454213400672
gradcam,0,needs_implant,0.032985087098130396,0.007050690706819296,4.678277415605231
integrated_gradients,0,needs_implant,0.013290704825296488,0.007050690706819296,1.8850216777261222
gradient_shap,0,needs_implant,0.007457307696972448,0.007050690706819296,1.0576705186854787
grad_rollout,0,needs_implant,0.014094095527394247,0.007050690706819296,1.998966642198998
attention_rollout,1,needs_implant,0.007960793380671275,0.007050690706819296,1.1290799315550382
gradcam,1,needs_implant,0.001833483976721433,0.007050690706819296,0.2600431720750595
integrated_gradients,1,needs_implant,0.013821049078909966,0.007050690706819296,1.960240443612497
gradient_shap,1,needs_implant,0.010509939759455855,0.007050690706819296,1.490625556626791
grad_rollout,1,needs_implant,0.024994761793157117,0.007050690706819296,3.54500896897699
attention_rollout,2,needs_implant,0.008824273440728973,0.007050690706819296,1.2515473742443846
gradcam,2,needs_implant,0.0201599306244809,0.007050690706819296,2.8592844960540664
integrated_gradients,2,needs_implant,0.010434633589629944,0.007050690706819296,1.4799448768243035
gradient_shap,2,needs_implant,0.006085519466212544,0.007050690706819296,0.863109689427554
grad_rollout,2,needs_implant,0.019309344646398996,0.007050690706819296,2.7386458219934906
attention_rollout,3,needs_implant,0.002542074730407437,0.007050690706819296,0.3605426526437743
gradcam,3,needs_implant,0.028453834460932356,0.007050690706819296,4.035609508925464
integrated_gradients,3,needs_implant,0.003487711364870568,0.007050690706819296,0.4946623685389176
gradient_shap,3,needs_implant,0.004573290684987042,0.007050690706819296,0.6486301661997229
grad_rollout,3,needs_implant,0.0015503530704221481,0.007050690706819296,0.21988669406852235
attention_rollout,4,needs_implant,0.006791958176346952,0.007050690706819296,0.9633039454954246
gradcam,4,needs_implant,0.044325548386346635,0.007050690706819296,6.286695903917016
integrated_gradients,4,needs_implant,0.010578388243435608,0.007050690706819296,1.500333610323367
gradient_shap,4,needs_implant,0.010579597367101918,0.007050690706819296,1.500505100425059
grad_rollout,4,needs_implant,0.010906345809766384,0.007050690706819296,1.546847856936622
attention_rollout,5,needs_implant,0.006395465800432445,0.007050690706819296,0.9070694016186059
gradcam,5,needs_implant,0.020813449033908683,0.007050690706819296,2.951973061841772
integrated_gradients,5,needs_implant,0.008979623376259752,0.007050690706819296,1.273580667433735
gradient_shap,5,needs_implant,0.007665259061194689,0.007050690706819296,1.0871642765127953
grad_rollout,5,needs_implant,0.003467513616626656,0.007050690706819296,0.4917977203670191
attention_rollout,6,needs_implant,0.009770223886773418,0.007050690706819296,1.3857115980600085
gradcam,6,needs_implant,0.027793737611838936,0.007050690706819296,3.9419879225389014
integrated_gradients,6,needs_implant,0.016305225106197464,0.007050690706819296,2.31257131878262
gradient_shap,6,needs_implant,0.004820351154002534,0.007050690706819296,0.6836707713388109
grad_rollout,6,needs_implant,0.018891350774097423,0.007050690706819296,2.679361719246323
attention_rollout,7,needs_implant,0.004293790683841034,0.007050690706819296,0.6089886597476415
gradcam,7,needs_implant,0.020520846457616617,0.007050690706819296,2.9104732161587004
integrated_gradients,7,needs_implant,0.005204967589526657,0.007050690706819296,0.7382209496854698
gradient_shap,7,needs_implant,0.007144737437585473,0.007050690706819296,1.0133386549881158
grad_rollout,7,needs_implant,0.002479238491868612,0.007050690706819296,0.3516305841455702
